Regional Economy,Statistic,Value,Footnote,Unit of Measurement,Year,Sustainable Development Goal,ADB Country Code
Bangladesh,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,50.05,,%,2017,8.10.2,BAN
Bangladesh,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,56.2,8,%,2019,16.9.1,BAN
Bangladesh,Proportion of Employed Population below $1.90 PPP a Day (Female),10.32,,%,2019,1.1.1,BAN
Bangladesh,Proportion of Employed Population below $1.90 PPP a Day (Male),8.65,,%,2019,1.1.1,BAN
Bangladesh,Proportion of Employed Population below $1.90 PPP a Day (Total),9.15,,%,2019,1.1.1,BAN
Bangladesh,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,14.77,5,%,2016,,BAN
Bangladesh,Proportion of Population Covered by Mobile Network - 2G,99.6,,%,2018,9.c.1,BAN
Bangladesh,Proportion of Population Covered by Mobile Network - 3G,95.23,,%,2018,9.c.1,BAN
Bangladesh,Proportion of Population Covered by Mobile Network - LTE/WiMAX,79,,%,2018,9.c.1,BAN
Bangladesh,"Proportion of Population Living below
the National Poverty Line",21.8,*,%,2018,,BAN
Bangladesh,Proportion of Population Using Safely Managed Drinking Water Services (Rural),61.49,,%,2017,6.1.1,BAN
Bangladesh,Proportion of Population Using Safely Managed Drinking Water Services (Total),55.44,,%,2017,6.1.1,BAN
Bangladesh,Proportion of Population Using Safely Managed Drinking Water Services (Urban),44.62,,%,2017,6.1.1,BAN
Bangladesh,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",32.34,,%,2017,6.2.1,BAN
Bangladesh,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",…,,%,2017,6.2.1,BAN
Bangladesh,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,BAN
Bangladesh,Proportion of Population with Access to Electricity,88,,%,2017,7.1.1,BAN
Bangladesh,Proportion of Seats Held by Women in National Parliaments,20.63,,%,2019,5.5.1,BAN
Bangladesh,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),67.2,5,%,2016,4.c.1,BAN
Bangladesh,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),…,,%,2018,4.c.1,BAN
Bangladesh,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),50.43,6,%,2018,4.c.1,BAN
Bangladesh,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),58.54,5,%,2016,4.c.1,BAN
Bangladesh,Renewable Energy Share in the Total Final Energy Consumption,31.98,,%,2017,7.2.1,BAN
Bangladesh,Surface Area,147.63,,'000  km2,,,BAN
Bangladesh,Total Fertility Rate,2.04,,births per woman,2018,,BAN
Bangladesh,Total Official Flows for Infrastructure - Official Development Assistance (ODA),1872.95,,"disbursements, constant 2017, $ million",2018,9.a.1,BAN
Bangladesh,Total Official Flows for Infrastructure - Other Official Flows (OOF),720.6,,"disbursements, constant 2017, $ million",2018,9.a.1,BAN
Bangladesh,Total Outstanding,33511.8,,$ million,2018,,BAN
Bangladesh,Total Outstanding,11.88,,% of GNI,2018,,BAN
Bangladesh,Total Population,167.37,,million,2019,,BAN
Bangladesh,Trade Balance,-5.12,,% of GDP,2019,,BAN
Bangladesh,Tuberculosis Incidence,221,,"per 100,000 population",2018,3.3.2,BAN
Bangladesh,Under-5 Mortality Rate,30.2,,"per 1,000 live births",2018,3.2.1,BAN
Bangladesh,"Unemployment Rate, by Sex (Female)",6.2,,%,2019,8.5.2,BAN
Bangladesh,"Unemployment Rate, by Sex (Male)",3.31,,%,2019,8.5.2,BAN
Bangladesh,"Unemployment Rate, by Sex (Total)",4.19,,%,2019,8.5.2,BAN
Bangladesh,Volume of Remittances in United States Dollars as a Proportion of Total GDP,5.68,,%,2018,17.3.2,BAN
Bhutan,Age Dependency Ratio,46.57,,% of working-age population,2018,,BHU
Bhutan,"Annual Change 
in Money Supply",-2.38,,%,2019,,BHU
Bhutan,"Annual Growth Rate of GDP



",4.4,,%,2019,,BHU
Bhutan,Annual Growth Rate of Real GDP per Employed Person,3.36,,%,2019,8.2.1,BHU
Bhutan,Annual Real Growth Rates on Value Added (Agriculture),3.75,,%,2019,,BHU
Bhutan,Annual Real Growth Rates on Value Added (Industry),0.42,,%,2019,,BHU
Bhutan,Annual Real Growth Rates on Value Added (Services),9.1,,%,2019,,BHU
Bhutan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,35.4,,μg/m3,2016,11.6.2,BHU
Bhutan,Average Annual Population Growth Rate,1.08,,%,2014-2019,,BHU
Bhutan,CO2 Emissions,…,,Million Metric Tons,2017,9.4.1,BHU
Bhutan,CO2 Emissions,…,,Per Unit of GDP (PPP),2017,9.4.1,BHU
Bhutan,Coverage of Protected Areas in Relation to Marine Areas,…,,%,2018,14.5.1,BHU
Bhutan,Current Account Balance,-22.61,,% of GDP,2019,,BHU
Bhutan,Debt Service as a Percentage of Exports of Goods and Services,10.42,,%,2018,17.4.1,BHU
Bhutan,Domestic Material Consumption,8.37,,Million Metric Tons,2017,12.2.2,BHU
Bhutan,Domestic Material Consumption,10.36,,Per Capita,2017,12.2.2,BHU
Bhutan,Forest Area as a Proportion of Total Land Area,72.28,,%,2015,15.1.1,BHU
Bhutan,Government Finance - Expenditure,27.42,,% of  GDP,2019,,BHU
Bhutan,Government Finance - Fiscal Balance,-2.94,,% of  GDP,2019,,BHU
Bhutan,Government Finance - Revenue,24.48,,% of  GDP,2019,,BHU
Bhutan,Gross Domestic Investment,43.4,,% of GDP,2019,,BHU
Bhutan,Gross International Reserves,1064.8,,$ million,2019,,BHU
Bhutan,Growth Rate of Merchandise Exports,-10.28,,%,2019,,BHU
Bhutan,Growth Rate of Merchandise Imports,-6.6,,%,2019,,BHU
Bhutan,Growth Rates of Household Expenditure or Income per Capita,1.67,,%,2012-2017,10.1.1,BHU
Bhutan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.63,,%,2012-2017,10.1.1,BHU
Bhutan,Inflation Rate,2.82,,%,2019,,BHU
Bhutan,Material Footprint,8.38,,Million Metric Tons,2017,12.2.1,BHU
Bhutan,Material Footprint,10.37,,Per Capita,2017,12.2.1,BHU
Bhutan,Maternal Mortality Ratio,183,,"per 100,000 live births",2017,3.1.1,BHU
Bhutan,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",23.3,,%,2016,3.4.1,BHU
Bhutan,Neonatal Mortality Rate,16.4,,"per 1,000 live births",2018,3.2.2,BHU
Bhutan,"Nominal Gross Domestic Product
(GDP)



",2.49,,$ billion,2019,,BHU
Bhutan,Number of ATMs,43.93,,"per 100,000 adults",2018,8.10.1,BHU
Bhutan,Number of Commercial Bank Branches ,18.39,,"per 100,000 adults",2018,8.10.1,BHU
Bhutan,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),35.36,,%,2018,4.2.2,BHU
Bhutan,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),33.93,,%,2018,4.2.2,BHU
Bhutan,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),34.63,,%,2018,4.2.2,BHU
Bhutan,"Per Capita Gross National Income (GNI), Atlas Method",3080,,$,2018,,BHU
Bhutan,Population Density,19,,persons per km2 of surface area,2019,,BHU
Bhutan,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,…,,%,2017,2.2.2,BHU
Bhutan,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,…,,%,2017,2.2.2,BHU
Bhutan,Prevalence of Stunting among Children under 5 Years of Age,…,,%,2017,2.2.1,BHU
Bhutan,Prevalence of Undernourishment,…,,%,2016-2018,2.1.1,BHU
Bhutan,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,33.67,3,%,2014,8.10.2,BHU
Bhutan,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,…,,%,2016,16.9.1,BHU
Bhutan,Proportion of Employed Population below $1.90 PPP a Day (Female),1.57,,%,2019,1.1.1,BHU
Bhutan,Proportion of Employed Population below $1.90 PPP a Day (Male),1.1,,%,2019,1.1.1,BHU
Bhutan,Proportion of Employed Population below $1.90 PPP a Day (Total),1.29,,%,2019,1.1.1,BHU
Bhutan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,1.49,6,%,2017,,BHU
Bhutan,Proportion of Population Covered by Mobile Network - 2G,98,,%,2018,9.c.1,BHU
Bhutan,Proportion of Population Covered by Mobile Network - 3G,90,,%,2018,9.c.1,BHU
Bhutan,Proportion of Population Covered by Mobile Network - LTE/WiMAX,60,,%,2018,9.c.1,BHU
Bhutan,"Proportion of Population Living below
the National Poverty Line",8.21,6,%,2017,,BHU
Bhutan,Proportion of Population Using Safely Managed Drinking Water Services (Rural),27.6,,%,2017,6.1.1,BHU
Bhutan,Proportion of Population Using Safely Managed Drinking Water Services (Total),36.16,,%,2017,6.1.1,BHU
Bhutan,Proportion of Population Using Safely Managed Drinking Water Services (Urban),48.92,,%,2017,6.1.1,BHU
Bhutan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,BHU
Bhutan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",…,,%,2017,6.2.1,BHU
Bhutan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,BHU
Bhutan,Proportion of Population with Access to Electricity,97.7,,%,2017,7.1.1,BHU
Bhutan,Proportion of Seats Held by Women in National Parliaments,14.89,,%,2019,5.5.1,BHU
Bhutan,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),100,,%,2018,4.c.1,BHU
Bhutan,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),100,,%,2018,4.c.1,BHU
Bhutan,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),100,,%,2018,4.c.1,BHU
Bhutan,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),100,,%,2018,4.c.1,BHU
Bhutan,Renewable Energy Share in the Total Final Energy Consumption,83.44,,%,2017,7.2.1,BHU
Bhutan,Surface Area,38.39,,'000  km2,,,BHU
Bhutan,Total Fertility Rate,1.98,,births per woman,2018,,BHU
Bhutan,Total Official Flows for Infrastructure - Official Development Assistance (ODA),37.38,,"disbursements, constant 2017, $ million",2018,9.a.1,BHU
Bhutan,Total Official Flows for Infrastructure - Other Official Flows (OOF),6.4,,"disbursements, constant 2017, $ million",2018,9.a.1,BHU
Bhutan,Total Outstanding,2642.07,,$ million,2018,,BHU
Bhutan,Total Outstanding,117.98,,% of GNI,2018,,BHU
Bhutan,Total Population,0.74,,million,2019,,BHU
Bhutan,Trade Balance,-17.03,,% of GDP,2019,,BHU
Bhutan,Tuberculosis Incidence,149,,"per 100,000 population",2018,3.3.2,BHU
Bhutan,Under-5 Mortality Rate,29.7,,"per 1,000 live births",2018,3.2.1,BHU
Bhutan,"Unemployment Rate, by Sex (Female)",3.2,,%,2019,8.5.2,BHU
Bhutan,"Unemployment Rate, by Sex (Male)",1.75,,%,2019,8.5.2,BHU
Bhutan,"Unemployment Rate, by Sex (Total)",2.34,,%,2019,8.5.2,BHU
Bhutan,Volume of Remittances in United States Dollars as a Proportion of Total GDP,2.38,,%,2018,17.3.2,BHU
Brunei Darussalam,Age Dependency Ratio,38.7,,% of working-age population,2018,,BRU
Brunei Darussalam,"Annual Change 
in Money Supply",4.27,,%,2019,,BRU
Brunei Darussalam,"Annual Growth Rate of GDP



",3.87,,%,2019,,BRU
Brunei Darussalam,Annual Growth Rate of Real GDP per Employed Person,0.96,,%,2019,8.2.1,BRU
Brunei Darussalam,Annual Real Growth Rates on Value Added (Agriculture),-1.41,,%,2019,,BRU
Brunei Darussalam,Annual Real Growth Rates on Value Added (Industry),4.19,,%,2019,,BRU
Brunei Darussalam,Annual Real Growth Rates on Value Added (Services),3.45,,%,2019,,BRU
Brunei Darussalam,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,5.8,,μg/m3,2016,11.6.2,BRU
Brunei Darussalam,Average Annual Population Growth Rate,2.07,,%,2014-2019,,BRU
Brunei Darussalam,CO2 Emissions,6.71,,Million Metric Tons,2017,9.4.1,BRU
Brunei Darussalam,CO2 Emissions,0.22,,Per Unit of GDP (PPP),2017,9.4.1,BRU
Brunei Darussalam,Coverage of Protected Areas in Relation to Marine Areas,0.02,,%,2018,14.5.1,BRU
Brunei Darussalam,Current Account Balance,8.97,,% of GDP,2019,,BRU
Brunei Darussalam,Debt Service as a Percentage of Exports of Goods and Services,…,,%,2018,17.4.1,BRU
Brunei Darussalam,Domestic Material Consumption,9.8,,Million Metric Tons,2017,12.2.2,BRU
Brunei Darussalam,Domestic Material Consumption,22.87,,Per Capita,2017,12.2.2,BRU
Brunei Darussalam,Forest Area as a Proportion of Total Land Area,72.11,,%,2015,15.1.1,BRU
Brunei Darussalam,Government Finance - Expenditure,29,,% of  GDP,2019,,BRU
Brunei Darussalam,Government Finance - Fiscal Balance,-1.58,,% of  GDP,2019,,BRU
Brunei Darussalam,Government Finance - Revenue,27.42,,% of  GDP,2019,,BRU
Brunei Darussalam,Gross Domestic Investment,38.68,,% of GDP,2019,,BRU
Brunei Darussalam,Gross International Reserves,4273,,$ million,2019,,BRU
Brunei Darussalam,Growth Rate of Merchandise Exports,11.99,,%,2019,,BRU
Brunei Darussalam,Growth Rate of Merchandise Imports,24.2,,%,2019,,BRU
Brunei Darussalam,Growth Rates of Household Expenditure or Income per Capita,…,,%,,10.1.1,BRU
Brunei Darussalam,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,%,,10.1.1,BRU
Brunei Darussalam,Inflation Rate,-0.41,,%,2019,,BRU
Brunei Darussalam,Material Footprint,8.57,,Million Metric Tons,2017,12.2.1,BRU
Brunei Darussalam,Material Footprint,19.98,,Per Capita,2017,12.2.1,BRU
Brunei Darussalam,Maternal Mortality Ratio,31,,"per 100,000 live births",2017,3.1.1,BRU
Brunei Darussalam,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",16.6,,%,2016,3.4.1,BRU
Brunei Darussalam,Neonatal Mortality Rate,5.5,,"per 1,000 live births",2018,3.2.2,BRU
Brunei Darussalam,"Nominal Gross Domestic Product
(GDP)



",13.47,,$ billion,2019,,BRU
Brunei Darussalam,Number of ATMs,74.5,,"per 100,000 adults",2018,8.10.1,BRU
Brunei Darussalam,Number of Commercial Bank Branches ,17.26,,"per 100,000 adults",2018,8.10.1,BRU
Brunei Darussalam,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),94.15,,%,2018,4.2.2,BRU
Brunei Darussalam,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),94.14,,%,2018,4.2.2,BRU
Brunei Darussalam,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),94.14,,%,2018,4.2.2,BRU
Brunei Darussalam,"Per Capita Gross National Income (GNI), Atlas Method",29660,,$,2018,,BRU
Brunei Darussalam,Population Density,78,,persons per km2 of surface area,2019,,BRU
Brunei Darussalam,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,…,,%,2017,2.2.2,BRU
Brunei Darussalam,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,…,,%,2017,2.2.2,BRU
Brunei Darussalam,Prevalence of Stunting among Children under 5 Years of Age,…,,%,2017,2.2.1,BRU
Brunei Darussalam,Prevalence of Undernourishment,3.2,,%,2016-2018,2.1.1,BRU
Brunei Darussalam,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,…,,%,2017,8.10.2,BRU
Brunei Darussalam,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,…,,%,2016,16.9.1,BRU
Brunei Darussalam,Proportion of Employed Population below $1.90 PPP a Day (Female),–,,%,2019,1.1.1,BRU
Brunei Darussalam,Proportion of Employed Population below $1.90 PPP a Day (Male),–,,%,2019,1.1.1,BRU
Brunei Darussalam,Proportion of Employed Population below $1.90 PPP a Day (Total),–,,%,2019,1.1.1,BRU
Brunei Darussalam,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,%,2018,,BRU
Brunei Darussalam,Proportion of Population Covered by Mobile Network - 2G,99.06,,%,2018,9.c.1,BRU
Brunei Darussalam,Proportion of Population Covered by Mobile Network - 3G,95.94,,%,2018,9.c.1,BRU
Brunei Darussalam,Proportion of Population Covered by Mobile Network - LTE/WiMAX,94.94,,%,2018,9.c.1,BRU
Brunei Darussalam,"Proportion of Population Living below
the National Poverty Line",…,,%,2018,,BRU
Brunei Darussalam,Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,BRU
Brunei Darussalam,Proportion of Population Using Safely Managed Drinking Water Services (Total),…,,%,2017,6.1.1,BRU
Brunei Darussalam,Proportion of Population Using Safely Managed Drinking Water Services (Urban),…,,%,2017,6.1.1,BRU
Brunei Darussalam,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,BRU
Brunei Darussalam,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",…,,%,2017,6.2.1,BRU
Brunei Darussalam,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,BRU
Brunei Darussalam,Proportion of Population with Access to Electricity,100,,%,2017,7.1.1,BRU
Brunei Darussalam,Proportion of Seats Held by Women in National Parliaments,9.09,,%,2019,5.5.1,BRU
Brunei Darussalam,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),91.21,,%,2018,4.c.1,BRU
Brunei Darussalam,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),61.51,,%,2018,4.c.1,BRU
Brunei Darussalam,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),86.41,,%,2018,4.c.1,BRU
Brunei Darussalam,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),88.28,,%,2018,4.c.1,BRU
Brunei Darussalam,Renewable Energy Share in the Total Final Energy Consumption,0.01,,%,2017,7.2.1,BRU
Brunei Darussalam,Surface Area,5.77,,'000  km2,,,BRU
Brunei Darussalam,Total Fertility Rate,1.85,,births per woman,2018,,BRU
Brunei Darussalam,Total Official Flows for Infrastructure - Official Development Assistance (ODA),…,,"disbursements, constant 2017, $ million",2018,9.a.1,BRU
